up_name,video_name,video_playnum,video_url
银河电竞,【电竞星快报】LPL集体放飞，全明星可太下饭了！（第二季45）,"
          57.4万
        ",http://www.bilibili.com/video/BV1yV411h7Pc
凉风Kaze,早期刀剑未被动画化的剧情,"
          91.7万
        ",http://www.bilibili.com/video/BV1oT4y1M7R4
三十六贱笑,课 堂 请 勿 对 对 子 3.0 ！！！,"
          382.4万
        ",http://www.bilibili.com/video/BV1Ci4y1c7D8
,大海退潮后，大齐赶海发现一只海鸭子，还有胖胖的大猫眼螺,"
          58.5万
        ",http://www.bilibili.com/video/BV11i4y1c7zb
学法联盟,我在野外快饿死了，抓只熊猫烧着吃犯法吗？,"
          47.5万
        ",http://www.bilibili.com/video/BV1y64y1f795
小魏小蛙历险记,阴 间 成 功 学,"
          20.3万
        ",http://www.bilibili.com/video/BV1r64y1f7gZ
,半夜突袭女性朋友闺房，她会同意留我过夜吗。。？,"
          7.4万
        ",http://www.bilibili.com/video/BV1gy4y1i7WR
芦苇十三少,对子之皇孙悟空,"
          25.4万
        ",http://www.bilibili.com/video/BV19K4y1L7t6
视角姬,生 日 礼 物 开 箱 ！,"
          67.7万
        ",http://www.bilibili.com/video/BV1y5411G7Kd
,狂亲一只小狮子会发生什么,"
          10.2万
        ",http://www.bilibili.com/video/BV1fi4y1c7ks
,巨人中的角色在现实中该长什么样子？,"
          21.9万
        ",http://www.bilibili.com/video/BV1C64y1f7Fa
面粉社长,以前的男生 VS 现在的男生,"
          20.6万
        ",http://www.bilibili.com/video/BV1oi4y1c7Yn
,当我在学校广播站听到 自 己 的 翻 唱【好想爱这个世界啊】,"
          10.6万
        ",http://www.bilibili.com/video/BV1mp4y1q7ef
阿毛有点方,【阿毛有点方】我用十万粉丝种出了一块小电视！！？,"
          4.1万
        ",http://www.bilibili.com/video/BV1TT4y1u7BM
没啥用科技,【没啥用科技】秋裤发布会-送给年轻人的第一条智能秋裤,"
          145.5万
        ",http://www.bilibili.com/video/BV11A411s7G5
,圣诞节前夕女子在公寓中失踪，两位独自在家的邻居谁才是真凶,"
          5.5万
        ",http://www.bilibili.com/video/BV1ii4y1c7X1
吃货请闭眼,直径1米大烤炉！北京180年历史烤肉老字号，好吃到发出驴叫！,"
          86.4万
        ",http://www.bilibili.com/video/BV1Ef4y1e7i3
飞社长,探秘日本忍者木叶村，里面竟然...,"
          7.5万
        ",http://www.bilibili.com/video/BV1Qi4y1c7pr
CmoStar,假 如 三 连 犯 法！,"
          51.7万
        ",http://www.bilibili.com/video/BV1uT4y1u7ss
,❤你的圣诞礼物正在派送中，不准拒收哦~❤,"
          1.5万
        ",http://www.bilibili.com/video/BV1Mp4y1675w
观视频工作室,【张维为芒克采访】中国人羡慕西方自由民主吗？【一小时完整版｜收藏向】,"
          46.2万
        ",http://www.bilibili.com/video/BV1va4y1H7NH
,【阿斗】女人，别太高估男人对你的爱，豆瓣8.3分的爱情片《面纱》,"
          36万
        ",http://www.bilibili.com/video/BV1of4y1Y7k2
,出个小事故一修就是14万的国产豪车，竟然把赛雷公关了？,"
          3万
        ",http://www.bilibili.com/video/BV1HK4y1L7SB
光明日报,曾经，美国赠送我国1克月壤，还拿放大镜放大……,"
          15.8万
        ",http://www.bilibili.com/video/BV1Th411f7mg
,骂骂咧咧的跑回窝里,"
          44.3万
        ",http://www.bilibili.com/video/BV1f5411G7dB
,【进击的巨人】最终季第三集大删减！为了拯救人类！夺回始祖巨人计划进行...【他她漫漫聊】,"
          20.5万
        ",http://www.bilibili.com/video/BV1Zh411Z73n
美食作家王刚R,快过年了，厨师长和同事们一起穿香肠备年货，其乐融融好不热闹,"
          80.3万
        ",http://www.bilibili.com/video/BV1Mp4y167aR
,假如男生打开了美颜 会发生什么？,"
          12.9万
        ",http://www.bilibili.com/video/BV135411V7DW
